Clients,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,note/school schedule,Location,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17
AbGa,3-6pm,3-6pm,3-6pm,3-6pm,3-6pm,9am,,stanton,,,,,,,,,,,,,,,,,
AbOr,2:35-4:35,2:35-4:35,,2:35-4:35,2:35-4:35,,,,,,,,,,,,,,,,,,,,
AbPeAr,open,open,open,open,open,open,,victorville,,,,,,,,,,,,,,,,,
AdAl,8am-1,8am-1,8am-1,8am-1,8am-1,,,,,,,,,,,,,,,,,,,,
AdCa,2pm,2pm,2pm,2pm,2pm,,school(8-1:30pm mon-fri),Hesperia,,,,,,,,,,,,,,,,,
AdRa,3:30pm,3:30pm,3:30pm,3:30pm,3:30pm,,,Riverside,,,,,,,,,,,,,,,,,
AdVo,after 3pm,after 3pm,after 3pm,after 3pm,after 3pm,,,Hesperia,,,,,,,,,,,,,,,,,
AdYa,4-7pm,4-7pm,4-7pm,4-7pm,4-7pm,10am,"school(7:45-2pm mon,tues,thurs,fri) (7:45-1pm weds)",Corona,,,,,,,,,,,,,,,,,
AiDu,10-1pm,10-1pm,,10-1pm,10-1pm,,,apple valley,,,,,,,,,,,,,,,,,
AiHe,4-6pm,4-6pm,4-6pm,4-6pm,4-6pm,,,victorville,,,,,,,,,,,,,,,,,
AiOn,3:00-5:00,3:00-5:00,2pm,3:00,3pm,all day,,,,,,,,,,,,,,,,,,,
AiRo,10-1pm,9-12pm,10-1pm,10-1pm,10-1pm,,,irvine,,,,,,,,,,,,,,,,,
AlAv,,,,,,,not in intake,apple valley,,,,,,,,,,,,,,,,,
AlGa,,3:30-6:30,3:30-6:30,,3:30-6:30,9am-1pm,4 hrs aday as many as possible,,,,,,,,,,,,,,,,,,
AlKh,,,,,,,,,,,,,,,,,,,,,,,,,
AlLe,8am-5:30pm,8am-5:30pm,8am-5:30pm,8am-5:30pm,8am-5:30pm,,school,,,,,,,,,,,,,,,,,,
AlMa,10-4pm,10-4pm,10-4pm,10-4pm,10-4pm,,,Victorville,,,,,,,,,,,,,,,,,
AlMo,3pm,3pm,3pm,3pm,3pm,,,,,,,,,,,,,,,,,,,,
AlQu,6-8pm,4:30-6:30pm,6-8pm,4:30-6:30pm,6-8pm,9am-2pm,,,,,,,,,,,,,,,,,,,
AlSaGa,4:30-6:30,4:30-6:30,4:30-6:30,4:30-6:30,4:30-6:30,,school(9am-3:45 mon-fri),victorville,,,,,,,,,,,,,,,,,
AlVa,,,,,,,,,,,,,,,,,,,,,,,,,
AmBu,10am,10am,10am,,,8-12pm,,,,,,,,,,,,,,,,,,,
AmJo,after 3,open,after 3,open,open,,,Moreno Valley,,,,,,,,,,,,,,,,,
AmMa,2:30-5:30,2:30-5:30,2:30-5:30,2:30-5:30,2:30-5:30,,school (8:30-1:30 mon-fri),,,,,,,,,,,,,,,,,,
AmRo,,,,,,,,,,,,,,,,,,,,,,,,,
AmTo,after 4,after 4 ,3:30pm,after 4 ,after 4pm,,,AV,,,,,,,,,,,,,,,,,
AnLi,9am-12pm,,9am-12pm,,9am-12pm,,,Colton,,,,,,,,,,,,,,,,,
AnLo,5-8pm,,5-8pm,,,,,victorville,,,,,,,,,,,,,,,,,
AnMo,4:30-6:30,4:30-6:30,4:30-6:30,4:30-6:30,4:30-6:30,,,,,,,,,,,,,,,,,,,,
AnNg,3:30pm,3:30,3:30,3:30,3:30,free all day,,,,,,,,,,,,,,,,,,,
AnTh,5pm-7,3pm-6,5pm-7,5pm-7,3pm-7pm,,,,,,,,,,,,,,,,,,,,
ArCu,,,,,,,,,,,,,,,,,,,,,,,,,
AsRa,9-4pm ,9-4pm ,9-4pm ,9-4pm ,9-4pm ,,daycare,Riverside,,,,,,,,,,,,,,,,,
AtRe,after 1pm,after 1pm,after 1pm,after 1pm,after 1pm,,school(8:40-12:04pm mon-thurs) (8:40-12:30pm fri),victorville,,,,,,,,,,,,,,,,,
AtVa,,,,,,,no intake yet,,,,,,,,,,,,,,,,,,
AvNg,4pm,4pm,4pm,4pm,4pm,9am,,,,,,,,,,,,,,,,,,,
AvOR,,1-3pm,1-3pm,,1-3pm,,,,,,,,,,,,,,,,,,,,
AvPe,,,,,,,,,,,,,,,,,,,,,,,,,
AyMa,after 2pm,after 2pm,after 2pm,after 2pm,after 2pm,,school (7:30-2pm mon-fri),La Habra,,,,,,,,,,,,,,,,,
BeGo,3:00-5:30pm,3:00-5:30pm,3:00-5:30pm,3:00-5:30pm,3:00-5:30pm,9am,school(8-2pm mon-fri) mom doesn't want school but she will check,victorville,,,,,,,,,,,,,,,,,
BeMu,before 1:30,before 1:30,before 1:30,before 1:30,before 1:30,,,hesperia,,,,,,,,,,,,,,,,,
BeNg,3:15-6:30,3:15-6:30,3:15-6:30,3:15-6:30,3:15-6:30,9am-5pm,,,,,,,,,,,,,,,,,,,
BeVe,4pm,4pm,4pm,,,,,hesperia,,,,,,,,,,,,,,,,,
BrSoRi,2pm,2pm,2pm,2pm,2pm,open,,,,,,,,,,,,,,,,,,,
BrTh,,,,,,,no in take,,,,,,,,,,,,,,,,,,
BrWi,daycare,daycare,daycare,daycare,daycare,8am-12,,,,,,,,,,,,,,,,,,,
CaAr,,3:30-6:30,3:30-6:30,,3:30-6:30,,,,,,,,,,,,,,,,,,,,
CaCa,,,,,,,,,,,,,,,,,,,,,,,,,
CaGa,,3:30-6:30,3:30-6:30,,3:30-6:30,9am-1pm,,Hesperia,,,,,,,,,,,,,,,,,
CaKiJo,3:30-7pm,3:30-7pm,3:30-7pm,3:30-7pm,,,,av,,,,,,,,,,,,,,,,,
CaTr,,,after 3pm,,,8am-2:30,,garden grove,,,,,,,,,,,,,,,,,
CePe,after 3Pm,after 3Pm,after 3Pm,after 3Pm,after 3Pm,,school (12-3pm mon-fri),Jurupa Valley,,,,,,,,,,,,,,,,,
ChCo,12-3pm,,,,12-3pm,,,Abelanto,,,,,,,,,,,,,,,,,
ChHo,2pm,4:40pm,4:30pm,4:30pm ,4:30pm ,,,,,,,,,,,,,,,,,,,,
ChJu,after 10am,,after 10am,,after 10am,after 10am,,fotana,,,,,,,,,,,,,,,,,
ChrLo,5-8pm,,5-8pm,,,maybe afternoon,,victorville,,,,,,,,,,,,,,,,,
ChLo,7:30-2:20,7:30-2:20,7:30-2:20,7:30-1,7:30-2:20,,after school program til 5,,,,,,,,,,,,,,,,,,
ChTa,,,,,,,,,,,,,,,,,,,,,,,,,
ChVa,12:00-2pm,12:00-2pm,12:00-2pm,12:00-2pm,12:00-2pm,,,Ontario,,,,,,,,,,,,,,,,,
CoHe,2:30-6:30pm,2:30-6:30pm,2:30-6:30pm,,2:30-6:30pm,8am,,Tustin,,,,,,,,,,,,,,,,,
CoMi,4pm-7pm,5:30 pm (or 6-8pm),4pm-7pm,5:30pm,4pm-7pm,Depend,school(9:10-3:15 mon-fri),Artesia,,,,,,,,,,,,,,,,,
DaAn,,,8-4pm,8-4pm,,,school schedule ( available in home ),,,,,,,,,,,,,,,,,,
DaFe,3pm,3pm,3pm,3pm,3pm,allday,,Victorville,,,,,,,,,,,,,,,,,
DaLo,8am,8am,8am,8am,8am,,,highland,,,,,,,,,,,,,,,,,
DaMa,8am-12:15pm  ,8am-12:15pm ,8am-12:15pm  ,8am-12:15pm  ,8am-12:15pm  ,,,,,,,,,,,,,,,,,,,,
DaMaAr,7:30-5:30,7:30-5:30,7:30-5:30,7:30-5:30,7:30-5:30,open,school -check with carla,,,,,,,,,,,,,,,,,,
DaZa,,,,,,,,,,,,,,,,,,,,,,,,,
DeAl,open,open,open,open,open,,,Victorville,,,,,,,,,,,,,,,,,
DeRoMe,4pm,4pm,3pm,4pm,4pm,10:00 AM,,AV,,,,,,,,,,,,,,,,,
DiCe,,,,,,,waiting on college schedule ,GARDENGROVE,,,,,,,,,,,,,,,,,
DuAv,,,3:30pm,,3:30pm,morning,,victorville,,,,,,,,,,,,,,,,,
DvLe,,1pm,,1pm,1pm,1pm,,victorville,,,,,,,,,,,,,,,,,
DyRo,3pm,3pm,3pm,3pm,3pm,3pm,,,,,,,,,,,,,,,,,,,
EdGo,4-7pm,4-7pm,4-7pm,4-7pm,4-7pm,10-12pm,,riverside,,,,,,,,,,,,,,,,,
EdMaGo,3:00-7,3:00-7,3:00-7,3:00-7,3:00-7,n/a,school schedule(8:15-2:15) weds(8:15-1:15),,,,,,,,,,,,,,,,,,
EdRa,4-8pm,4-8pm,3:30-8pm,4-8pm,4-8pm,,,,,,,,,,,,,,,,,,,,
ElAg,3:30Pm,3:30Pm,3:30Pm,12pm,3:30Pm,,school(11:30-2pm mon-fri) two session if possible,Chino,,,,,,,,,,,,,,,,,
ElEr,,,,,,,,,,,,,,,,,,,,,,,,,
ElEr,,,,,,,,,,,,,,,,,,,,,,,,,
ElGo,2:30pm,2:30pm,2:30pm,2:30pm,2:30pm,,school sched(7:30-2),,,,,,,,,,,,,,,,,,
ElLo,,,,,,,,,,,,,,,,,,,,,,,,,
ElQu,,,,,,,no intake,,,,,,,,,,,,,,,,,,
ElRo,3pm,3pm,3pm,3pm,3pm,9:00 AM,,Jurupa Valley,,,,,,,,,,,,,,,,,
ElSh,2:30pm,2:30pm,2:30pm,2:30pm,2:30pm,,school sched(7:45-2:30 mon-thurs) (7:45-12:30 fri),Victorville,,,,,,,,,,,,,,,,,
ElWi,4:30pm-6:30pm,4:30pm-6:30pm,4:30pm-6:30pm,4:30pm-6:30pm,4:30pm-6:30pm,,School(8:10-2:30pm mon-fri),victorville,,,,,,,,,,,,,,,,,
EmEs,after 3:30pm,after 3:30pm,after 3:30pm,after 3:30pm,after 3:30pm,,,Lake Elsinore,,,,,,,,,,,,,,,,,
EmMa,2:30-5:30,2:30-5:30,2:30-5:30,2:30-5:30,2:30-5:30,,school (8:30-1:30 mon-fri),,,,,,,,,,,,,,,,,,
EmPa,2:30pm,2:30pm,2:30pm,2:30pm,2:30pm,,school(8am-1:55pm ),Lake Elsinore,,,,,,,,,,,,,,,,,
EmVo,9:30-1:30pm,9:30-1:30pm,9:30-1:30pm,,9:30-1:30pm,,no intake,Hesperia,,,,,,,,,,,,,,,,,
EnDeMa,before 10am or after 3,before 10am or after 3,before 10am or after 3,before 10am or after 3,before 10am or after 3,,,,,,,,,,,,,,,,,,,,
EnGaTa,,after 3:30pm,after 3:30pm,after 3:30pm,after 3:30pm,available for makeup,,,,,,,,,,,,,,,,,,,
EnRa,,,,,,,,Hesperia,,,,,,,,,,,,,,,,,
ErCaMe,3-5:30,3-5:30,3-5:30,3-5:30,3-5:30,,,barstow,,,,,,,,,,,,,,,,,
EtHe,4:30-6:30 pm,4:30-6:30 pm,4:30-6:30 pm,4:30-8:15 pm,,,,Victorville,,,,,,,,,,,,,,,,,
ErCe,,,,,,,no intake,Norco,,,,,,,,,,,,,,,,,
EuCe,,,,,,,,,,,,,,,,,,,,,,,,,
EvEl,,,,,,,,,,,,,,,,,,,,,,,,,
EvMi,,,open,open,open,open,,,,,,,,,,,,,,,,,,,
EvSa,3-5pm,3-5pm,2-5pm,3-5pm,3-5pm,,school (8:20am-2:15pm mon-fri),Hesperia,,,,,,,,,,,,,,,,,
FaZa,,,,,,,,,,,,,,,,,,,,,,,,,
GaIs,2:30-6:30pm,2:30-6:30pm,2:30-6:30pm,2:30-6:30pm,2:30-6:30pm,,,Victorville,,,,,,,,,,,,,,,,,
GeJuGa,,,,,,,,,,,,,,,,,,,,,,,,,
GiAr,3:30-5:30,3:30-5:30,3:30-5:30,,,,School 8:20-2:20,Hesperia,,,,,,,,,,,,,,,,,
GuGo,,,3;30-6pm,4-6:30pm,4-6:30pm,,,Victorville,,,,,,,,,,,,,,,,,
HaLo,4pm-7pm ,3-6pm,4-7:30pm,4-7pm,4-7pm,,,,,,,,,,,,,,,,,,,,
HaMe,2-3:30,1-2:45,1:30-3,1-4pm,3:30-5:30 (clinic),,,victorville,,,,,,,,,,,,,,,,,
HeMe,3:30-5:30,1:30-4,3-5:30,4-6pm,3:30-5:30pm (clinic,,,victorville,,,,,,,,,,,,,,,,,
IaRo,4-6:30pm,4-6:30pm,4-6:30pm,4-6:30pm,4-6:30pm,,,oc,,,,,,,,,,,,,,,,,
IlAg,3:30-7pm,3:30-7:pm,3:30-7:pm,3:30-7:pm,3:30-7:pm,,,Chino,,,,,,,,,,,,,,,,,
IsAn,3pm-6pm,3pm-6pm,,3pm-6pm,3pm-6pm,possibly,,Victorville ,,,,,,,,,,,,,,,,,
IsGa,,,,,,,,,,,,,,,,,,,,,,,,,
IsKi,all day,3:30-7pm,3:30-7pm,3:30-7pm,3:30-7pm,open,,adelanton,,,,,,,,,,,,,,,,,
IsLa,open,open,open,open,open,maybe,,adelanto,,,,,,,,,,,,,,,,,
Islu,after 4,after 4,after 4,after 4,after 4,before 1pm,"school (8-2:30 pm mon,tues,thurs,fri) (8am-1 on weds)",Hesperia,,,,,,,,,,,,,,,,,
IsQu,9am-2,9am-2,9am-2,9am-2,9am-2,,,,,,,,,,,,,,,,,,,,
IsYaRe,4pm,4pm,4pm,4pm,4pm,,,,,,,,,,,,,,,,,,,,
IsZa,after 5pm,after 5pm,after 5pm,after 5pm,after 5pm,,,Hesperia,,,,,,,,,,,,,,,,,
IvCa,,,,,,,,,,,,,,,,,,,,,,,,,
IvMu,3pm-8Pm,3pm-8Pm,3pm-8Pm,4:30-8pm,3pm-8pm,8:00 AM,school(8:05am-2:25pm)wed(8:05-1:25),,,,,,,,,,,,,,,,,,
JaCa,open,open,open,open,open,,only school schedule open,AV,,,,,,,,,,,,,,,,,
JacMo,after 4pm,after 4pm,after 4pm,after 4pm,after 4pm,,School(8:30-2pm mon-fri),,,,,,,,,,,,,,,,,,
JaEv,9-12pm,9-12pm,9-12pm,9-12pm,9-12pm,,,victorville,,,,,,,,,,,,,,,,,
Jalo,4-7pm,3-6pm,4-6pm,4-7pm,7-Apr,,,,,,,,,,,,,,,,,,,,
